region,name_th,name_en,population,area_km2,abbr,abbr3,iso
เหนือ,เชียงราย,Chiang Rai,1287615,11678.4,ชร,CRI,TH-57
เหนือ,เชียงใหม่,Chiang Mai,1640479,20107,ชม,CMI,TH-50
เหนือ,น่าน,Nan,476363,11472.1,นน,NAN,TH-55
เหนือ,พะเยา,Phayao,486304,6335.1,พย,PYO,TH-56
เหนือ,แพร่,Phrae,447564,6538.6,พร,PRE,TH-54
เหนือ,แม่ฮ่องสอน,Mae Hong Son,242742,12681.3,มส,MSN,TH-58
เหนือ,ลำปาง,Lampang,761949,12534,ลป,LPG,TH-52
เหนือ,ลำพูน,Lamphun,404560,4505.9,ลพ,LPN,TH-51
เหนือ,อุตรดิตถ์,Uttaradit,462618,7838.6,อต,UTD,TH-53
ใต้,กระบี่,Krabi,469769,4708.5,กบ,KBI,TH-81
ใต้,ชุมพร,Chumphon,509650,6010.8,ชพ,CPN,TH-86
ใต้,ตรัง,Trang,643072,4917.5,ตง,TRG,TH-92
ใต้,นครศรีธรรมราช,Nakhon Si Thammarat,1557482,9942.5,นศ,NRT,TH-80
ใต้,นราธิวาส,Narathiwat,796239,4475.4,นธ,NWT,TH-96
ใต้,ปัตตานี,Pattani,709796,1940.4,ปน,PTN,TH-94
ใต้,พังงา,Phangnga,267491,4170.9,พง,PNA,TH-82
ใต้,พัทลุง,Phatthalung,524857,3424.5,พท,PLG,TH-93
ใต้,ภูเก็ต,Phuket,402017,543,ภก,PKT,TH-83
ใต้,ยะลา,Yala,527295,4521.1,ยล,YLA,TH-95
ใต้,ระนอง,Ranong,190399,3298,รน,RNG,TH-85
ใต้,สตูล,Satun,319700,2479,สต,STN,TH-91
ใต้,สงขลา,Songkhla,1424230,7393.9,สข,SKA,TH-90
ใต้,สุราษฎร์ธานี,Surat Thani,1057581,12891.5,สฎ,SNI,TH-84
กลาง,กรุงเทพมหานคร,Bangkok,5682415,1568.7,กท,BKK,TH-10
กลาง,กำแพงเพชร,Kamphaeng Phet,729133,8607.5,กพ,KPT,TH-62
