month,brand,1300cc,1600cc,1800cc,2000cc,gt2000cc,elec,total
3,MINI COOPER,1,33,0,78,0,0,112
3,MITSUBISHI,1443,0,1,22,4128,0,5594
3,NISSAN,1652,561,64,739,639,0,3655
3,PEUGEOT,0,5,0,0,0,0,5
3,PORSCHE,0,0,0,17,42,0,59
3,PROTON,0,13,0,0,0,0,13
3,RANGE ROVER,0,0,0,1,8,0,9
3,ROLLS-ROYCE,0,0,0,0,2,0,2
3,SUBARU,0,1,0,298,7,0,306
3,SUZUKI,1792,82,0,0,0,0,1874
3,TATA,0,0,0,0,9,0,9
3,TOYOTA,3669,2945,1088,470,8170,0,16342
3,VOLKSWAGEN,0,2,0,1,0,0,3
3,VOLVO,0,21,0,65,4,0,90
3,อื่น ๆ ,0,0,0,0,2,0,2
4,ASTON MARTIN,0,0,0,0,1,0,1
4,AUDI,0,0,0,7,0,0,7
4,BENTLEY,0,0,0,0,1,0,1
4,BMW,1,39,0,443,44,0,527
4,CHEVROLET,0,38,41,39,348,0,466
4,CITROEN,0,1,0,0,0,0,1
4,DAIHATSU,1,0,0,0,0,0,1
4,FERRARI,0,0,0,0,4,0,4
4,FORD,34,267,1,20,1868,0,2190
4,HONDA,137,5263,1674,612,173,0,7859
4,HYUNDAI,0,3,37,1,17,0,58
4,ISUZU,0,0,0,2990,774,0,3764
4,JAGUAR,0,0,0,1,1,0,2
4,KIA,1,2,0,1,1,0,5
4,LAMBORGHINI,0,0,0,0,1,0,1
4,LAND ROVER,0,0,0,0,4,0,4
4,LEXUS,0,0,1,14,60,0,75
4,MAZDA,1072,663,0,824,350,0,2909
4,MERCEDES BENZ,0,133,29,311,427,0,900
4,MG,0,466,38,0,0,0,504
4,MINI COOPER,1,34,0,47,0,0,82
4,MITSUBISHI,1125,0,3,14,2846,0,3988
4,MITSUOKA,0,0,0,1,0,0,1
4,NISSAN,1167,334,34,473,387,0,2395
4,PEUGEOT,0,4,0,0,0,0,4
4,PORSCHE,0,0,0,8,24,0,32
4,PROTON,0,10,0,0,0,0,10
4,RANGE ROVER,0,0,0,0,5,0,5
4,SUBARU,0,0,0,221,4,0,225
4,SUZUKI,1195,38,0,0,0,0,1233
4,TATA,0,0,0,0,2,0,2
4,TOYOTA,2952,1841,556,338,5428,0,11115
4,VOLKSWAGEN,0,3,0,3,0,0,6
4,VOLVO,0,9,0,46,2,0,57
5,ASTON MARTIN,0,0,0,0,3,0,3
5,AUDI,0,1,0,13,0,0,14
5,BENTLEY,0,0,0,0,1,0,1
5,BMW,0,42,0,522,35,0,599
5,CADILLAC,0,0,0,0,1,0,1
5,CHEVROLET,0,32,35,57,388,0,512
5,FIAT,0,1,0,0,0,0,1
5,FORD,28,280,0,27,2195,0,2530
5,HONDA,117,6903,2859,852,320,0,11051
5,HYUNDAI,0,0,28,5,49,0,82
5,ISUZU,0,0,0,4205,892,0,5097
5,JAGUAR,0,0,0,1,1,0,2
5,JEEP,0,0,0,0,1,0,1
5,KIA,0,3,0,1,2,0,6
5,LAMBORGHINI,0,0,0,0,3,0,3
5,LAND ROVER,0,0,0,0,4,0,4
5,LEXUS,0,0,1,32,63,0,96
5,MASERATI,0,0,0,0,1,0,1
5,MAZDA,1414,889,0,1257,403,0,3963
5,MERCEDES BENZ,0,156,24,482,516,0,1178
5,MG,0,561,46,6,0,0,613
5,MINI COOPER,1,26,0,58,0,0,85
5,MITSUBISHI,1356,0,4,18,3448,0,4826
5,NISSAN,1449,376,36,506,453,0,2820
5,PEUGEOT,0,15,0,0,0,0,15
5,PORSCHE,0,0,0,16,49,0,65
5,PROTON,0,4,0,0,0,0,4
5,RANGE ROVER,0,0,0,0,4,0,4
5,ROLLS-ROYCE,0,0,0,0,4,0,4
5,SSANGYONG,0,0,0,2,3,0,5
5,SUBARU,0,0,0,324,5,0,329
5,SUZUKI,1464,86,0,0,0,0,1550
5,TATA,0,0,0,0,4,0,4
5,TOYOTA,3206,2172,575,380,5868,0,12201
5,VOLKSWAGEN,3,0,0,3,0,0,6
5,VOLVO,0,26,0,77,5,0,108
5,อื่น ๆ ,0,0,0,0,2,0,2
6,ASTON MARTIN,0,0,0,0,1,0,1
6,AUDI,0,0,0,11,0,0,11
6,BENTLEY,0,0,0,0,1,0,1
6,BMW,0,62,0,568,56,0,686
6,CADILLAC,0,0,0,0,1,0,1
6,CHEVROLET,0,20,37,91,459,0,607
6,CITROEN,0,1,0,0,0,0,1
6,FERRARI,0,0,0,0,2,0,2
6,FORD,10,282,0,35,2385,0,2712
6,HONDA,115,7158,3620,817,301,0,12011
6,HYUNDAI,0,3,30,0,44,0,77
6,ISUZU,0,0,0,4377,1074,0,5451
6,JAGUAR,0,0,0,1,1,0,2
6,JEEP,0,0,0,0,2,0,2
6,KIA,0,4,0,1,3,0,8
6,LAMBORGHINI,0,0,0,0,3,0,3
6,LAND ROVER,0,0,0,0,6,0,6
6,LEXUS,0,0,1,27,66,0,94
6,MASERATI,0,0,0,0,2,0,2
6,MAZDA,1563,870,0,1259,477,0,4169
6,MERCEDES BENZ,0,151,36,509,503,0,1199
6,MG,0,671,30,43,0,0,744
6,MINI COOPER,2,36,0,68,0,0,106
6,MITSUBISHI,1699,0,14,15,3021,0,4749
6,NISSAN,1592,339,44,487,458,0,2920
6,PEUGEOT,0,5,0,0,0,0,5
6,PORSCHE,0,0,0,18,57,0,75
6,PROTON,0,22,0,0,0,0,22
6,RANGE ROVER,0,0,0,0,1,0,1
6,ROLLS-ROYCE,0,0,0,0,2,0,2
6,SSANGYONG,0,0,0,1,0,0,1
6,SUBARU,0,2,0,350,3,0,355
6,SUZUKI,1871,92,0,0,0,0,1963
6,TATA,0,0,0,0,7,0,7
6,TOYOTA,3475,3408,626,446,6277,0,14232
6,VOLKSWAGEN,2,0,0,2,0,0,4
6,VOLVO,0,42,0,72,2,0,116
6,อื่น ๆ ,1,0,0,0,5,0,6
7,ALFA ROMEO,0,0,1,0,0,0,1
7,ASTON MARTIN,0,0,0,0,1,0,1
7,AUDI,0,1,0,5,1,0,7
7,BENTLEY,0,0,0,0,2,0,2
7,BMW,0,32,0,483,48,0,563
7,CHEVROLET,0,18,40,36,293,0,387
7,CITROEN,0,1,0,0,0,0,1
7,FERRARI,0,0,0,0,3,0,3
7,FIAT,0,0,0,0,1,0,1
7,FORD,10,256,0,20,1976,0,2262
7,HONDA,85,5420,2963,601,233,0,9302
7,HYUNDAI,0,1,19,1,29,0,50
7,ISUZU,0,0,0,2948,744,0,3692
7,JAGUAR,0,0,0,1,1,0,2
7,JEEP,0,0,0,0,1,0,1
7,KIA,0,7,0,1,0,0,8
7,LAMBORGHINI,0,0,0,0,5,0,5
7,LAND ROVER,0,0,0,0,2,0,2
7,LEXUS,0,0,0,17,56,0,73
7,MASERATI,0,0,0,0,1,0,1
7,MAZDA,1237,620,0,882,346,0,3085
7,MERCEDES BENZ,0,128,28,460,353,0,969
7,MG,0,461,36,26,0,0,523
7,MINI COOPER,0,26,0,43,0,0,69
7,MITSUBISHI,1234,0,7,19,1882,0,3142
7,NISSAN,1278,419,57,383,344,0,2481
7,PEUGEOT,0,3,0,1,0,0,4
7,PORSCHE,0,0,0,10,39,0,49
7,PROTON,1,5,0,0,0,0,6
7,RANGE ROVER,0,0,0,0,5,0,5
7,ROLLS-ROYCE,0,0,0,0,3,0,3
7,SKODA,0,0,0,1,0,0,1
7,SUBARU,0,0,0,311,6,0,317
7,SUZUKI,1388,71,0,1,0,0,1460
7,TATA,0,0,0,0,3,0,3
7,TOYOTA,3094,2492,480,318,4908,0,11292
7,VOLKSWAGEN,0,2,0,3,1,0,6
7,VOLVO,0,14,0,41,2,0,57
7,อื่น ๆ ,0,0,0,0,2,0,2
8,ALFA ROMEO,0,0,1,0,0,0,1
8,ASTON MARTIN,0,0,0,0,4,0,4
8,AUDI,0,0,0,9,0,0,9
8,BMW,0,52,0,543,71,0,666
8,CADILLAC,0,0,0,0,1,0,1
8,CHEVROLET,0,16,26,43,395,0,480
8,FERRARI,0,0,0,0,2,0,2
8,FIAT,0,1,0,0,0,0,1
8,FORD,19,335,0,25,2444,0,2823
8,HONDA,112,6114,3604,731,240,0,10801
8,HYUNDAI,0,3,24,6,37,0,70
8,ISUZU,0,0,0,3478,786,0,4264
8,JAGUAR,0,0,0,2,0,0,2
8,JEEP,0,0,0,0,3,0,3
8,KIA,0,5,1,3,3,0,12
8,LAMBORGHINI,0,0,0,0,5,0,5
8,LAND ROVER,0,0,0,0,5,0,5
8,LEXUS,0,0,2,17,51,0,70
8,MASERATI,0,0,0,0,1,0,1
8,MAZDA,1287,717,0,952,407,0,3363
8,MERCEDES BENZ,0,140,27,543,429,0,1139
8,MG,0,715,81,30,0,0,826
8,MINI COOPER,0,28,0,60,0,0,88
8,MITSUBISHI,1455,1,4,16,1968,0,3444
8,NISSAN,1539,236,59,390,366,0,2590
8,PERODUA,0,4,0,0,0,0,4
8,PORSCHE,0,0,0,20,59,0,79
8,PROTON,0,6,0,0,0,0,6
8,RANGE ROVER,0,0,0,0,4,0,4
8,ROLLS-ROYCE,0,0,0,0,1,0,1
8,SSANGYONG,0,0,0,1,0,0,1
8,SUBARU,0,5,0,543,3,0,551
8,SUZUKI,1729,86,0,0,0,0,1815
8,TATA,0,0,0,0,4,0,4
8,TOYOTA,3184,2793,555,291,5214,0,12037
8,VOLKSWAGEN,2,2,0,4,0,0,8
8,VOLVO,0,23,0,51,2,0,76
8,อื่น ๆ ,1,0,0,0,3,0,4
9,AUDI,0,0,0,2,2,0,4
9,BMW,0,55,0,486,55,0,596
9,CHEVROLET,0,16,17,31,479,0,543
9,CITROEN,1,1,0,0,0,0,2
9,FERRARI,0,0,0,0,4,0,4
9,FORD,7,287,0,21,2025,0,2340
9,HONDA,114,5290,2875,686,208,0,9173
9,HYUNDAI,0,1,20,3,35,0,59
9,ISUZU,0,0,0,3103,630,0,3733
9,JAGUAR,0,0,0,5,3,0,8
9,KIA,0,3,0,1,1,0,5
9,LAMBORGHINI,0,0,0,0,7,0,7
9,LAND ROVER,0,0,0,1,2,0,3
9,LEXUS,0,0,2,23,31,0,56
9,MAZDA,1359,663,0,789,399,0,3210
9,MERCEDES BENZ,0,108,19,578,404,0,1109
9,MG,0,616,70,28,0,0,714
9,MINI COOPER,1,24,0,63,0,0,88
9,MITSUBISHI,1162,0,8,9,1798,0,2977
9,NAZA,0,0,0,0,1,0,1
9,NISSAN,1516,199,33,301,387,0,2436
9,PEUGEOT,0,3,0,0,0,0,3
9,PORSCHE,0,0,0,18,53,0,71
9,PROTON,1,22,0,0,0,0,23
9,RANGE ROVER,0,0,0,0,6,0,6
9,ROLLS-ROYCE,0,0,0,0,2,0,2
9,SKODA,0,0,1,0,0,0,1
9,SUBARU,0,3,0,415,2,0,420
9,SUZUKI,1669,72,0,0,0,0,1741
9,TOYOTA,2827,3019,473,307,4972,0,11598
9,VOLKSWAGEN,3,0,0,9,0,0,12
9,VOLVO,0,12,0,34,5,0,51
9,อื่น ๆ ,0,1,0,0,2,0,3
10,ASTON MARTIN,0,0,0,0,2,0,2
10,AUDI,0,0,0,9,0,0,9
10,BMW,0,50,0,451,28,0,529
10,CHEVROLET,0,9,15,34,413,0,471
10,CHRYSLER,0,0,0,1,0,0,1
10,FERRARI,0,0,0,0,5,0,5
10,FIAT,0,1,0,0,0,0,1
10,FORD,3,278,0,11,1903,0,2195
10,HONDA,120,4527,2608,605,151,0,8011
10,HUMMER,0,0,0,0,1,0,1
10,HYUNDAI,0,0,14,6,42,0,62
10,ISUZU,0,0,0,2404,498,0,2902
10,JAGUAR,0,0,0,5,0,0,5
10,KIA,0,2,0,2,2,0,6
10,LAND ROVER,0,0,0,0,3,0,3
10,LEXUS,0,0,2,20,50,0,72
10,MASERATI,0,0,0,0,1,0,1
10,MAZDA,1140,551,0,647,407,0,2745
10,MERCEDES BENZ,0,96,19,457,280,0,852
10,MG,0,525,104,25,0,0,654
10,MINI COOPER,0,23,0,54,0,0,77
10,MITSUBISHI,1215,1,4,6,1540,0,2766
10,NISSAN,1519,164,22,247,351,0,2303
10,PEUGEOT,0,4,0,0,0,0,4
10,PORSCHE,0,0,0,19,52,0,71
10,PROTON,0,16,0,0,0,0,16
10,RANGE ROVER,0,0,0,0,2,0,2
10,SUBARU,0,1,0,449,2,0,452
10,SUZUKI,1583,60,0,0,0,0,1643
10,TATA,0,0,0,0,4,0,4
10,TOYOTA,2457,2728,362,287,4083,0,9917
10,VOLKSWAGEN,0,1,0,3,0,0,4
10,VOLVO,0,12,0,58,1,0,71
10,อื่น ๆ ,0,0,0,0,3,0,3
11,AUDI,0,0,0,9,3,0,12
11,BENTLEY,0,0,0,0,3,0,3
11,BMW,0,64,0,461,35,0,560
11,CHERY,0,0,0,2,0,0,2
11,CHEVROLET,0,11,14,34,469,0,528
11,FERRARI,0,0,0,0,1,0,1
11,FORD,4,211,0,9,1910,0,2134
11,HONDA,133,4203,2285,543,130,0,7294
11,HYUNDAI,0,0,3,1,28,0,32
11,ISUZU,0,0,0,2691,577,0,3268
11,JAGUAR,0,0,0,2,2,0,4
11,JEEP,0,0,0,0,1,0,1
11,KIA,0,2,0,2,0,0,4
11,LAMBORGHINI,0,0,0,0,4,0,4
11,LEXUS,0,0,1,11,48,0,60
11,MAZDA,1125,548,0,675,354,0,2702
11,MERCEDES BENZ,1,94,19,449,276,0,839
11,MG,0,456,99,19,0,0,574
11,MINI COOPER,0,27,0,48,0,0,75
11,MITSUBISHI,1185,1,5,9,1441,0,2641
11,NISSAN,1499,164,24,209,342,0,2238
11,PEUGEOT,0,4,0,0,0,0,4
11,PORSCHE,0,0,0,23,37,0,60
11,PROTON,1,13,0,0,0,0,14
11,RANGE ROVER,0,0,0,0,2,0,2
11,ROLLS-ROYCE,0,0,0,0,1,0,1
11,SUBARU,0,3,0,342,1,0,346
11,SUZUKI,1438,60,0,1,0,0,1499
11,TATA,0,0,0,0,2,0,2
11,TOYOTA,2168,2490,342,293,4163,0,9456
11,VOLKSWAGEN,0,0,0,1,0,0,1
11,VOLVO,0,6,0,43,0,0,49
11,อื่น ๆ ,1,0,0,0,2,1,4
12,ALFA ROMEO,0,0,0,0,1,0,1
12,AUDI,0,0,0,7,2,0,9
12,BENTLEY,0,0,0,0,1,0,1
12,BMW,0,40,0,269,19,0,328
12,CADILLAC,0,0,0,0,1,0,1
12,CHEVROLET,0,4,24,18,283,0,329
12,FERRARI,0,0,0,0,3,0,3
12,FORD,3,145,0,3,1411,0,1562
12,HONDA,118,2595,1340,348,85,0,4486
12,HYUNDAI,0,3,14,0,16,0,33
12,ISUZU,0,0,0,2056,522,0,2578
12,JAGUAR,0,0,0,1,1,0,2
12,KIA,1,0,0,1,2,0,4
12,LAMBORGHINI,0,0,0,0,3,0,3
12,LAND ROVER,0,0,0,0,2,0,2
12,LEXUS,0,0,0,13,19,0,32
12,LOTUS,0,0,0,0,1,0,1
12,MAZDA,682,303,0,413,239,0,1637
12,MERCEDES BENZ,0,49,5,251,156,0,461
12,MG,0,260,64,11,0,0,335
12,MINI COOPER,0,21,0,35,0,0,56
12,MITSUBISHI,870,0,3,3,1085,0,1961
12,NAZA,1,0,0,0,0,0,1
12,NISSAN,1177,181,22,153,325,0,1858
12,PEUGEOT,0,2,0,0,0,0,2
12,PORSCHE,0,0,0,10,29,0,39
12,PROTON,0,6,0,0,0,0,6
12,SKODA,0,0,1,0,0,0,1
12,SUBARU,0,2,0,161,3,0,166
12,SUZUKI,1043,54,0,0,0,0,1097
12,TATA,0,0,0,0,4,0,4
12,TOYOTA,1635,1908,681,198,3561,0,7983
12,VOLKSWAGEN,0,1,0,0,0,0,1
12,VOLVO,0,9,0,21,0,0,30
12,อื่น ๆ ,0,0,0,0,1,0,1
