mfg,model,regis,year,category_id,category_descr
ASTON MARTIN,DB11,1,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,DB11 V12 COUPE,1,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,DB11 V8 COUPE,3,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,DBS SUPERLEGGERA VOLANTE,1,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,V8 VANTAGE S COUPE,1,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,VANQUISH COUPE,1,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,VANTAGE COUPE,3,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,VANTAGE F1 ROADSTER,1,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,VANTAGE ROADSTER,1,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A3 2.0TDI S LINE SALOON MANUAL,1,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A3 SALOON 35 TFSI,1,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A3 SB 35 TFSI S line,18,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A4 40 TFSI S line,2,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A4 40 TFSI S line IB,6,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A4 AV 45 TFSI q S line BE,15,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A4 AV 45 TFSI q S line IB,14,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A4 BLACK EDITION 35 TFSI,1,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A5 CP 40 TFSI S line,205,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A5 CP 45 TFSI q S line BE,51,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A5 SB 40 TFSI S line,216,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A5 SB 45 TFSI q S line BE,37,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A6 40 TFSI S line,15,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A6 50 TFSI,1,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A6 AV 45 TFSI q S line BE,4,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A7 SB 45 TFSI,16,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A7 SB 45 TFSI q,1,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A7 SB 55 TFSI q S line,3,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A8 L 55 TFSI q Pg S line,1,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,e-tron 55 q,7,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,e-tron GT quattro,1,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,e-tron GT quattro PF,22,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,e-tron SB 55 q S line,11,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,Q2 35 TFSI,2,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,Q3 35 TFSI S line,43,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,Q3 40 TFSI q S line BE,59,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,Q3 SB 35 TFSI S line,7,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,Q3 SB 40 TFSI q S line BE,73,2566,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
