date, pm25, pm10, o3, no2, so2, co
2017/11/18, 139, 49, 13, 19, 1, 
2017/11/19, 115, 29, 8, 15, 1, 
2017/11/20, 77, 27, 11, 12, 1, 
2017/11/21, 72, 34, 15, 16, 1, 
2017/11/22, 88, 28, 17, 15, 1, 
2017/11/23, 69, 33, 20, 14, , 
2017/11/24, 78, 47, 23, 21, 1, 
2017/11/25, 95, 46, 24, 18, 1, 
2017/11/26, 97, 43, 19, 20, 1, 
2017/11/27, 93, 46, 18, 18, 1, 
2017/11/28, 105, 37, 20, 17, 1, 
2017/11/29, 95, 39, 19, 20, 1, 
2017/11/30, 96, 45, 18, 18, 1, 
2017/12/1, 103, 45, 23, 20, 1, 
2017/12/2, 101, 39, 23, 20, 1, 
2017/12/3, 93, 39, 24, 17, 1, 
2017/12/4, 88, 34, 16, 12, 1, 
2017/12/5, 84, 48, 24, 17, 1, 
2017/12/6, 106, 52, 25, 18, 1, 
2017/12/7, 118, 54, 23, 18, 1, 
2017/12/8, 114, 40, 26, 13, 1, 
2017/12/9, 95, 62, 35, 24, 2, 
2017/12/10, 142, 76, 32, 31, 2, 
2017/12/11, 164, 58, 19, 18, 2, 
2017/12/12, 125, 50, 17, 19, 1, 
2017/12/13, 107, 48, 14, 19, 2, 
2017/12/14, 108, 59, 20, 21, 2, 
2017/12/15, 124, 50, 21, 14, 1, 
2017/12/16, 113, 26, 22, 7, 1, 
2017/12/17, 67, 50, 26, 11, 1, 
2017/12/18, 108, 63, 25, 15, 1, 
2017/12/19, 129, 71, 25, 20, 2, 
2017/12/20, 140, 70, 25, 21, 2, 
2017/12/21, 151, 72, 27, 21, 2, 
2017/12/22, 157, 75, 36, 24, 2, 
2017/12/23, 161, 70, 31, 19, 2, 
2017/12/24, 142, 50, 20, 18, 1, 
2017/12/25, 102, 69, 14, 19, 1, 
2017/12/26, 160, 45, 9, 17, 1, 
2017/12/27, 144, 30, 12, 13, , 
2017/12/28, 96, 33, 21, 12, , 
2017/12/29, 84, 33, 23, 14, 1, 
2017/12/30, 87, 34, 18, 13, , 
2017/12/31, 82, 35, 23, 12, 1, 
2017/7/1, 66, 32, 9, 8, 1, 
2017/7/2, 68, 29, 9, 9, , 
2017/7/3, 64, 32, 5, 8, 1, 
2017/7/4, 66, 32, 7, 9, 1, 
2017/7/5, 64, 29, 11, 9, 2, 
2017/7/6, 66, 19, 7, 7, 1, 
2017/7/7, 48, 24, 7, 9, 1, 
2017/7/8, 65, 22, 13, 6, 1, 
2017/7/9, 57, 28, 12, 11, 1, 
2017/7/10, 65, 29, 11, 8, 1, 
2017/7/11, 74, 24, 8, 10, 1, 
2017/7/12, 71, 20, 6, 8, 1, 
2017/7/13, 62, 25, 8, 9, 1, 
2017/7/14, 68, 27, 14, 10, 1, 
2017/7/15, 74, 21, 11, 7, 1, 
2017/7/16, 65, 23, 8, 8, , 
2017/7/17, 66, 29, 10, 8, 1, 
2017/7/18, 71, 24, 5, 8, 1, 
2017/7/19, 67, 25, 7, 9, 1, 
2017/7/20, 71, 27, 13, 9, 1, 
2017/7/21, 70, 23, 14, 8, , 
2017/7/22, 62, 24, 13, 7, 1, 
2017/7/23, 65, 25, 10, 7, , 
2017/7/24, 70, 24, 7, 7, 1, 
2017/7/25, 63, 21, 5, 6, , 
2017/7/26, 63, 24, 10, 9, 1, 
2017/7/27, 70, 23, 13, 8, , 
2017/7/28, 63, 32, 10, 10, 1, 
2017/7/29, 74, 40, 15, 7, , 
2017/7/30, 81, 46, 15, 7, 1, 
2017/7/31, 80, 51, 17, 8, 1, 
2017/8/1, 90, 40, 14, 9, 1, 
2017/8/2, 78, 39, 5, 10, 1, 
2017/8/3, 85, 34, 7, 8, 1, 
2017/8/4, 70, 29, 6, 7, 1, 
2017/8/5, 69, 30, 6, 8, 1, 
2017/8/6, 69, 26, 7, 9, 1, 
2017/8/7, 70, 27, 7, 10, 1, 
2017/8/8, 67, 28, 12, 10, 1, 
2017/8/9, 69, 28, 13, 10, 1, 
2017/8/10, 70, 26, 9, 8, 1, 
2017/8/11, 58, 19, 19, 7, 1, 
2017/8/12, 54, 19, 22, 7, , 
2017/8/13, 54, 27, 20, 9, , 
2017/8/14, 60, 22, 9, 8, , 
2017/8/15, 55, 24, 6, 9, 1, 
2017/8/16, 62, 19, 4, 8, , 
2017/8/17, 56, 31, 13, 11, 1, 
2017/8/18, 72, 39, 11, 8, , 
2017/8/19, 59, 20, 7, 6, , 
2017/8/20, 45, 16, 13, 6, 1, 
2017/8/21, 53, 23, 16, 5, 2, 
2017/8/22, 62, 27, 16, 6, 2, 
2017/8/23, 63, 23, 10, 8, 3, 
2017/8/24, 68, 19, 10, 8, 2, 
2017/8/25, 58, 25, 9, 9, 1, 
2017/8/26, 65, 22, 9, 7, 24, 
2017/8/27, 55, 26, 13, 8, , 
2017/8/28, 65, 38, 4, 13, 1, 
2017/8/29, 81, 40, 14, 9, 1, 
2017/8/30, 78, 28, 15, 10, 1, 
2017/8/31, 72, 30, 19, 8, 1, 
2017/9/1, 69, 32, 9, 8, 1, 
2017/9/2, 66, 24, 9, 6, 1, 
2017/9/3, 57, 22, 13, 7, , 
2017/9/4, 55, 23, 7, 8, 1, 
2017/9/5, 53, 13, 1, 6, 1, 
2017/9/6, 56, , , , , 
2017/9/9, 76, 31, 4, 16, 1, 
2017/9/10, 116, 43, 6, 16, 1, 
2017/9/11, 120, 43, 7, 26, 1, 
2017/9/12, 113, 43, 6, 26, , 
2017/9/13, 108, 35, 18, 12, , 
2017/9/14, 77, 30, 17, 12, , 
2017/9/15, 69, 23, 6, 9, , 
2017/9/16, 57, 16, 4, 7, , 
2017/9/17, 44, 25, 9, 9, , 
2017/9/18, 58, 29, 12, 10, 1, 
2017/9/19, 68, 38, 7, 15, 1, 
2017/9/20, 76, 49, 30, 18, 1, 
2017/9/21, 113, 36, 10, 20, 1, 
2017/9/22, 82, 35, 9, 18, 1, 
2017/9/23, 83, 31, 13, 13, , 
2017/9/24, 82, 26, 10, 10, , 
2017/9/25, 58, 21, 8, 9, 1, 
2017/9/26, 51, 28, 19, 15, 1, 
2017/9/27, 71, 25, 15, 11, , 
2017/9/28, 66, 30, 13, 13, 1, 
2017/9/29, 77, 44, 15, 19, 19, 
2017/9/30, 98, 44, 7, 19, 1, 
2017/4/1, 81, 34, 20, 11, 1, 
2017/4/2, 92, 52, 26, 21, 1, 
2017/4/3, 129, 57, 23, 21, 1, 
2017/4/4, 140, 58, 21, 25, 1, 
2017/4/5, 129, 44, 19, 15, 1, 
2017/4/6, 107, 29, 13, 13, 2, 
2017/4/7, 71, 23, 13, 8, 3, 
2017/4/8, 56, 17, 10, 6, 5, 
2017/4/9, 58, 17, 9, 6, 4, 
2017/4/10, 56, 17, 7, 6, 3, 
2017/4/11, 47, 12, 8, 5, 4, 
2017/4/12, 38, 13, 12, 6, , 
2017/4/13, 50, 21, 18, 7, , 
2017/4/14, 67, 20, 16, 6, , 
2017/4/15, 66, 23, 13, 5, , 
2017/4/16, 62, 28, 14, 7, , 
2017/4/17, 75, 24, 14, 8, , 
2017/4/18, 59, 18, 16, 6, , 
2017/4/19, 55, 31, 20, 9, 1, 
2017/4/20, 71, 50, 30, 12, 1, 
2017/4/21, 96, 65, 40, 12, 1, 
2017/4/22, 131, 63, 28, 8, , 
2017/4/23, 131, 61, 27, 9, , 
2017/4/24, 117, 54, 24, 9, 1, 
2017/4/25, 102, 54, 22, 12, 3, 
2017/4/26, 99, 51, 21, 11, 3, 
2017/4/27, 98, 50, 13, 12, 1, 
2017/4/28, 97, 44, 23, 14, 2, 
2017/4/29, 102, 45, 21, 12, 3, 
2017/4/30, 101, 23, 12, 6, 3, 
2017/5/1, 61, 27, 12, 9, 3, 
2017/5/2, 63, 29, 12, 7, 3, 
2017/5/3, 71, 33, 11, 7, 3, 
2017/5/4, 74, 30, 19, 17, 2, 
2017/5/5, 73, 51, 30, 25, 3, 
2017/5/6, 111, 22, 28, 9, 3, 
2017/5/7, 71, 29, 15, 14, 2, 
2017/5/8, 75, 31, 16, 13, , 
2017/5/9, 69, 32, 14, 15, , 
2017/5/10, 85, 32, 16, 13, , 
2017/5/11, 80, 32, 5, 16, , 
2017/5/12, 78, 34, 5, 15, , 
2017/5/13, 83, 24, 9, 10, , 
2017/5/14, 64, 22, 9, 10, , 
2017/5/15, 52, 23, 10, 12, 1, 
2017/5/16, 62, 20, 5, 10, , 
2017/5/17, 53, 30, 13, 9, , 
2017/5/18, 62, 40, 10, 13, , 
2017/5/19, 85, 49, 23, 14, 1, 
2017/5/20, 92, 39, 17, 8, 1, 
2017/5/21, 77, 44, 16, 10, 1, 
2017/5/22, 81, 42, 11, 9, , 
2017/5/23, 78, 34, 13, 13, , 
2017/5/24, 71, 26, 28, 16, 2, 
2017/5/25, 70, 30, 9, 15, , 
2017/5/26, 69, 32, 10, 20, , 
2017/5/27, 82, 25, 10, 12, , 
2017/5/28, 67, 26, 7, 10, , 
2017/5/29, 67, 28, 5, 11, , 
2017/5/30, 72, 30, 11, 13, , 
2017/5/31, 77, 30, 8, 10, 1, 
2017/6/1, 69, 29, 13, 10, , 
2017/6/2, 65, 19, 9, 7, , 
2017/6/3, 46, 17, 7, 9, , 
2017/6/4, 52, 22, 8, 9, , 
2017/6/5, 56, 21, 11, 10, , 
2017/6/6, 51, 25, 8, 12, , 
2017/6/7, 56, 27, 9, 13, 2, 
2017/6/8, 56, 29, 6, 8, , 
2017/6/9, 55, 35, 8, 8, , 
2017/6/10, 62, 49, 10, 10, 1, 
2017/6/11, 77, 48, 13, 10, 1, 
2017/6/12, 85, 41, 21, 11, 1, 
2017/6/13, 75, 31, 12, 9, 1, 
2017/6/14, 60, 57, 11, 10, 1, 
2017/6/15, 88, 54, 12, 10, , 
2017/6/16, 85, 45, 12, 9, , 
2017/6/17, 78, 31, 14, 7, , 
2017/6/18, 63, 33, 12, 10, 1, 
2017/6/19, 68, 33, 15, 12, , 
2017/6/20, 73, 39, 12, 10, 1, 
2017/6/21, 72, 30, 11, 10, , 
2017/6/22, 68, 23, 13, 9, , 
2017/6/23, 58, 25, 12, 8, , 
2017/6/24, 59, 18, 12, 9, , 
2017/6/25, 59, 24, 9, 9, , 
2017/6/26, 63, 25, 14, 10, , 
2017/6/27, 65, 25, 18, 9, , 
2017/6/28, 60, 35, 14, 11, , 
2017/6/29, 70, 32, 4, 10, 1, 
2017/6/30, 68, 31, 6, 9, , 
2017/1/2, 85, 36, 12, 12, 1, 
2017/1/3, 104, 40, 11, 12, 1, 
2017/1/4, 109, 58, 13, 15, 1, 
2017/1/5, 126, 52, 9, 13, 1, 
2017/1/6, 120, 55, 12, 16, 2, 
2017/1/7, 130, 52, 4, 14, 1, 
2017/1/8, 138, 41, 3, 13, 1, 
2017/1/9, 115, 49, 3, 18, 1, 
2017/1/10, 153, 29, 7, 11, 1, 
2017/1/11, 88, 27, 7, 9, 1, 
2017/1/12, 74, 38, 18, 15, 2, 
2017/1/13, 87, 52, 27, 16, 2, 
2017/1/14, 114, 62, 28, 15, 1, 
2017/1/15, 141, 47, 26, 13, 1, 
2017/1/16, 113, 40, 14, 15, 1, 
2017/1/17, 100, 48, 15, 17, 1, 
2017/1/18, 109, 53, 22, 18, 1, 
2017/1/19, 124, 49, 17, 13, 1, 
2017/1/20, 106, 47, 20, 9, 1, 
2017/1/21, 102, 40, 19, 9, , 
2017/1/22, 92, 46, 23, 10, 1, 
2017/1/23, 102, 57, 26, 16, 1, 
2017/1/24, 121, 63, 27, 20, 1, 
2017/1/25, 139, 46, 20, 15, 1, 
2017/1/26, 104, 48, 23, 14, 1, 
2017/1/27, 107, 53, 29, 13, 1, 
2017/1/28, 116, 64, 33, 22, 2, 
2017/1/29, 143, 62, 25, 20, 1, 
2017/1/30, 138, 59, 20, 20, 1, 
2017/1/31, 133, 59, 23, 19, 1, 
2017/2/1, 131, 61, 21, 16, 1, 
2017/2/2, 137, 28, 9, 12, 1, 
2017/2/3, 74, 47, 26, 19, 1, 
2017/2/4, 105, 61, 33, 21, 2, 
2017/2/5, 139, 71, 37, 29, 2, 
2017/2/6, 156, 58, 32, 16, 2, 
2017/2/7, 134, 44, 28, 13, 1, 
2017/2/8, 105, 58, 30, 20, 3, 
2017/2/9, 134, 59, 25, 15, 1, 
2017/2/10, 132, 62, 25, 10, 1, 
2017/2/11, 137, 54, 28, 10, 1, 
2017/2/12, 132, 61, 25, 11, 1, 
2017/2/13, 151, 69, 25, 17, 1, 
2017/2/14, 161, 67, 20, 18, 1, 
2017/2/15, 149, 66, 28, 23, 1, 
2017/2/16, 144, 67, 27, 22, 1, 
2017/2/17, 140, 73, 27, 25, 4, 
2017/2/18, 154, 80, 42, 26, 2, 
2017/2/19, 168, 63, 27, 12, 1, 
2017/2/20, 145, 51, 23, 10, 1, 
2017/2/21, 128, 36, 13, 7, 2, 
2017/2/22, 93, 26, 11, 7, 1, 
2017/2/23, 72, 24, 9, 7, 1, 
2017/2/24, 60, 26, 10, 8, 1, 
2017/2/25, 65, 35, 10, 10, 1, 
2017/2/26, 82, 52, 21, 15, 1, 
2017/2/27, 109, 71, 24, 19, 1, 
2017/2/28, 157, 69, 26, 20, 2, 
2017/3/1, 156, 71, 22, 21, 2, 
2017/3/2, 157, 77, 30, 26, 2, 
2017/3/3, 162, 60, 22, 10, 1, 
2017/3/4, 140, 51, 16, 8, 1, 
2017/3/5, 113, 47, 26, 10, 1, 
2017/3/6, 110, 42, 11, 9, 1, 
2017/3/7, 93, 41, 12, 8, 1, 
2017/3/8, 98, 41, 13, 10, 1, 
2017/3/9, 95, 32, 10, 8, 1, 
2017/3/10, 78, 35, 11, 8, 1, 
2017/3/11, 80, 38, 13, 9, 1, 
2017/3/12, 82, 48, 25, 15, 1, 
2017/3/13, 106, 38, 11, 10, 1, 
2017/3/14, 88, 37, 11, 11, 2, 
2017/3/15, 82, 36, 11, 10, 1, 
2017/3/16, 83, 36, 10, 11, , 
2017/3/17, 87, 24, 8, 7, , 
2017/3/18, 67, 21, 8, 6, 1, 
2017/3/19, 60, 20, 7, 7, 1, 
2017/3/20, 62, 36, 22, 10, 1, 
2017/3/21, 85, 38, 19, 9, 1, 
2017/3/22, 85, 25, 9, 6, , 
2017/3/23, 68, 23, 8, 7, , 
2017/3/24, 66, 32, 13, 10, 1, 
2017/3/25, 76, 34, 13, 8, , 
2017/3/26, 81, 32, 9, 13, , 
2017/3/27, 91, 43, 26, 14, , 
2017/3/28, 106, 40, 17, 17, 1, 
2017/3/29, 100, 37, 18, 11, 3, 
2017/3/30, 88, 19, 10, 8, , 
2017/3/31, 67, 29, 15, 16, , 
2020/1/1, , 41, 13, 14, 1, 
2018/12/31, , 38, 25, 16, 1, 
2017/10/7, , 42, 13, 16, 1, 
2017/9/8, , 19, 7, 7, 1, 
2017/1/1, , 30, 18, 9, 1, 
