id,first_name,last_name,gender,film_count
933,Lewis,Abernathy,M,1
2547,Andrew,Adamson,M,1
2700,William,Addy,M,1
2898,"Seth (I)",Adkins,M,1
2925,"Charles (I)",Adler,M,1
3226,Casey,Affleck,M,1
4306,Shigekazu,Aida,M,1
4856,Julliet,Akinyi,M,1
6005,Henri,Alciatore,M,1
6990,Dean,Alexandrou,M,1
7124,Jim,Alfonso,M,1
7817,"Carl (I)",Allen,M,1
7979,"Ivan (I)",Allen,M,1
8161,"Richard (XV)",Allen,M,1
8409,Anthony,Allison,M,1
8412,"Bill (I)",Allison,M,1
8426,"Frankie J.",Allison,M,1
9184,Steve,Altes,M,1
9275,Walter,Altman,M,1
11489,Dion,Anderson,M,1
11547,"George (IV)",Anderson,M,1
11590,"J. Todd",Anderson,M,1
11865,"Scott G.",Anderson,M,1
12043,Kris,Andersson,M,1
12508,"David (I)",Andrews,M,2
12987,"Jack (I)",Angel,M,1
13553,Joey,Ansah,M,1
14741,"Royce D.",Applegate,M,1
14973,Julian,Arahanga,M,1
15068,Raul,Aranas,M,1
15854,Geoffrey,Arend,M,1
15921,"Guillaume (II)",Aretos,M,1
16669,Alun,Armstrong,M,1
16791,"Neil (I)",Armstrong,M,1
16844,"William (I)",Armstrong,M,1
17326,Abraham,Aronofsky,M,1
17433,Alexis,Arquette,M,1
17438,Richmond,Arquette,M,1
17946,Michael,Arturo,M,1
18534,Graham,Ashley,M,1
18638,"Richard (II)",Ashton,M,1
18826,Edward,Asner,M,1
19123,"David (I)",Aston,M,1
19873,Rene,Auberjonois,M,1
20565,"Mark (III)",Austin,M,1
21959,Ryuichiro,Baba,M,1
22188,James,Babson,M,1
22262,Mike,Bacarella,M,1
22489,Joe,Bacino,M,1
22591,Kevin,Bacon,M,9
22669,Michael,Badalucco,M,1
22723,Diedrich,Bader,M,1
23488,Eion,Bailey,M,1
24164,"Dylan (I)",Baker,M,1
24298,"Kenny (I)",Baker,M,1
24389,"Rick (I)",Baker,M,1
24660,Matthew,Balaban,M,1
25103,Christian,Bale,M,1
25293,Jeremy,Ball,M,1
25743,Kirk,Baltz,M,1
26018,John,Bandemer,M,1
26409,Ian,Bannen,M,1
28218,"Christopher Daniel",Barnes,M,1
28510,Roy,Barnitt,M,1
29603,Jason,Barry,M,1
29686,Thom,Barry,M,1
30298,Billy,Barty,M,1
31092,Dean,Batchelor,M,1
32474,Joe,Bays,M,1
32648,Scott,Beach,M,1
32842,Lightning,Bear,M,1
32884,"Kevin (I)",Beard,M,1
33024,Lou,"Beatty Jr.",M,1
33582,"William (II)",Beck,M,1
33865,Andy,Beckwith,M,1
35463,Ned,Bellamy,M,1
35741,Gil,Bellows,M,1
36005,John,Belushi,M,1
36390,Nat,Benchley,M,1
36472,Lawrence,Bender,M,2
36641,"Jay (I)",Benedict,M,2
37040,"David (I)",Benn,M,1
38306,"Jon (I)",Berg,M,1
38626,"Loys T.",Bergeron,M,1
38779,Jules,Bergman,M,1
38973,"Scott Clark",Beringer,M,1
39044,Xander,Berkeley,M,2
39553,Jay,Bernard,M,1
39860,Steve,Bernie,M,1
41012,Doug,Beswick,M,1
41156,Val,Bettin,M,1
41200,Jack,Betts,M,1
42278,Michael,Biehn,M,1
42960,Stephen,Billington,M,1
43791,"John (I)",Bishop,M,2
43802,Larry,Bishop,M,1
43842,"Stephen (I)",Bishop,M,1
43899,John,Bisom,M,1
43926,"Richard (II)",Bissell,M,1
43967,Joel,Bissonnette,M,1
44737,Abdul,Blackmanwest,M,1
45134,Geoffrey,Blake,M,1
45176,Matty,Blake,M,1
45193,"Paul (II)",Blake,M,1
45243,Don,Blakely,M,1
46035,Andrew,Blesser,M,1
46276,Bobby,Block,M,1
46793,Stuart,Blumberg,M,1
47366,Ben,Bode,M,1
47448,Wolfgang,Bodison,M,1
47548,Bain,Boehlke,M,1
47858,Hale,Boggs,M,1
48064,Bruce,Bohne,M,1
48468,Bill,Bolender,M,2
48630,Diedrich,Bollman,M,1
49086,Josh,Bond,M,1
49108,Rudy,Bond,M,1
49661,Bruce,Bonnheim,M,1
49922,Mark,"Boone Junior",M,2
50085,"Tim (I)",Booth,M,1
50561,"Eric Bruno",Borgman,M,1
51588,Morne,Botes,M,1
52396,Anderson,Bourell,M,1
52913,David,Bowe,M,2
52927,Douglass,"Bowen Flynn",M,1
52941,Cameron,Bowen,M,1
52978,"Michael (I)",Bowen,M,1
53441,Cayden,Boyd,M,1
54608,Eric,Braeden,M,1
54620,Zach,Braff,M,1
54814,Richard,Brake,M,1
54888,Mark,Bramhall,M,1
55108,Larry,Brandenburg,M,2
55174,Marlon,Brando,M,1
55263,Barry,Brandt,M,1
55349,"Willy (I)",Brandt,M,1
55702,Chuck,Brauchler,M,1
55975,Garrett,Brawith,M,1
56160,Walter,Breaux,M,1
56369,Charles,Brehm,M,1
56513,Ewen,Bremner,M,1
57184,Leonid,Brezhnev,M,1
57333,I.D.,Brickman,M,1
57631,Richard,Bright,M,1
57665,Paul,Brightwell,M,1
57830,Johnny,Brink,M,1
58327,"J. Paul",Broadhead,M,1
58481,Stanley,Brock,M,1
58566,Charley,Broderick,M,1
58775,Josh,Brolin,M,1
58871,Paul,Bronk,M,1
59227,"Randy (I)",Brooks,M,1
59323,Brian,Brophy,M,1
59824,Clancy,Brown,M,1
60384,"Phil (I)",Brown,M,1
60612,"W. Earl",Brown,M,1
61441,Jon,Bruno,M,1
62520,Raymond,Buck,M,1
62556,Jason,Buckham,M,1
63432,Kim,Bullard,M,1
63521,"Tom (V)",Bullock,M,1
63695,Edward,Bunker,M,1
63813,Cliff,Bura,M,1
64724,Ted,Burnett,M,1
64793,Alex,Burns,M,1
65536,Steve,Buscemi,M,3
65966,Michael,Butcher,M,1
66328,Mike,Butters,M,1
66495,Ezra,Buzzington,M,1
66776,"Chris (I)",Byrne,M,1
66791,Eddie,Byrne,M,1
66825,"Michael (I)",Byrne,M,1
67492,James,Caan,M,1
67493,Scott,Caan,M,1
67598,Charles,Cabell,M,1
67599,Earle,Cabell,M,1
67954,"John (I)",Cadenhead,M,1
68048,Harry,Caesar,M,1
68424,"Michael (I)",Caine,M,1
68754,Paul,Calderon,M,1
68858,Philip,Caldwell,M,1
69186,Roger,Callard,M,1
69902,Cody,Cameron,M,1
69940,"James (I)",Cameron,M,1
70137,Hamilton,Camp,M,1
70282,"Bruce (I)",Campbell,M,1
70588,Sol,Campbell,M,1
70744,Bruno,Campolo,M,1
71116,John,Candy,M,2
71699,Mickey,Cantwell,M,1
71767,"Jason Ninh",Cao,M,1
72215,Mark,Capri,M,1
72356,Paul,Carafotes,M,1
73209,Chris,Carley,M,1
73473,"Francis M.",Carlson,M,1
73950,Liam,Carney,M,1
74449,David,Carradine,M,2
75195,Price,Carson,M,1
75369,"Gary (I)",Carter,M,1
76228,Nicholas,Cascone,M,1
76443,"Aaron James",Cash,M,1
76653,Marc,Cass,M,1
76739,Vincent,Cassel,M,1
77118,"Richard S.",Castellano,M,1
77617,"Fidel (I)",Castro,M,1
78467,Frank,Cavestani,M,2
78574,John,Cazale,M,1
80345,Barry,Chambers,M,1
81479,"John (V)",Chapman,M,1
81486,"Kevin (I)",Chapman,M,1
81499,"Mark Lindsay",Chapman,M,1
82770,Don,Cheadle,M,1
82887,Ken,Cheeseman,M,1
84019,Peter,Cheyenne,M,1
84199,Sonny,Chiba,M,1
84795,Jimmy,Chisholm,M,1
84902,Fred,Chiverton,M,1
85253,Arnold,Chon,M,1
85282,Marcus,Chong,M,1
86167,Tory,Christopher,M,1
86866,Carl,Ciarfalio,M,1
86916,Jude,Ciccolella,M,1
87502,Franco,Citti,M,1
87969,"Eric (I)",Clark,M,1
88262,"Spencer Treat",Clark,M,1
88326,"William Paul",Clark,M,1
88336,"Adam (I)",Clarke,M,1
89087,Christian,Clemenson,M,1
89558,George,Clooney,M,2
90307,Hugo,Codaro,M,1
91369,"Gary (I)",Cole,M,1
91695,"Michael (XIII)",Coleman,M,1
91835,Daniel,Coli,M,1
92394,"Marty (II)",Collins,M,1
92556,Frank,Collison,M,1
92815,"Sydney 'Big Dawg'",Colston,M,1
92907,Vance,"Colvig Jr.",M,1
92931,Steven,Colvin,M,1
93441,Tim,Condren,M,1
93623,Jack,Conley,M,1
93689,"John (I)",Connally,M,1
93883,Brendan,Connolly,M,1
93916,"Michael S.",Connolly,M,1
94387,Richard,Conte,M,1
94668,"Kevin (I)",Conway,M,1
95037,"Gregory (I)",Cooke,M,1
95298,"Christopher E.",Cooper,M,1
95420,"John Sherman",Cooper,M,1
95602,"Harold E.","Cope Jr.",M,1
